series,n,r,p_naive,ci_low,ci_high,spearman_rho,spearman_p,lag1_estimate,lag1_truth,n_effective,p_adjusted,ci_adj_low,ci_adj_high,r_first_diff,p_first_diff_adjusted,boot_ci_low,boot_ci_high,level_correlation_survives
base_rate  -  average_confidence,35,-0.383452572834371,0.022975024700394808,-0.6354931101721778,-0.05756147831615943,-0.3904761904761905,0.020388940281776385,0.648115990712017,0.7052540475646574,13.04107619381618,0.19501021751757294,-0.7714487122967167,0.21241002507686774,0.7480251828116102,1.1817088363055798e-05,-0.7304267399559997,0.27996332735969537,False
brier  -  average_confidence,35,-0.45602076227903865,0.005901583365034039,-0.6851472929725984,-0.1447753417814563,-0.46106442577030815,0.005310337815052267,0.7019634239960441,0.6830645358263981,12.313718981916413,0.12994645608744756,-0.8162902091992932,0.15966764122545096,0.747400385724665,1.8853063133997708e-05,-0.7783678409307812,0.24412123475776112,False
accuracy  -  average_confidence,35,-0.39815296660296556,0.01784399528451882,-0.6457229837295977,-0.07483587840530634,-0.42969187675070025,0.009991541630237077,0.6605416270073075,0.7037619656428734,12.786003665076352,0.18231092952417863,-0.7783800336779204,0.1957823742620669,0.7437981372953326,1.3219969549092455e-05,-0.7419074716426738,0.27801656714526873,False
accuracy  -  atc,35,0.05260390843473358,0.7640898418098481,-0.2856501026245295,0.37920299763061666,0.0380952380952381,0.8279993551527559,0.43127572040492523,0.7037619656428734,18.70093624007553,0.8321612133638907,-0.41143589130033215,0.4949863939868585,0.6342646309003576,0.00037337029382354686,-0.3816502424969158,0.47731385658462744,False
