window_id,n,auc,brier,base_rate,mean_predicted,accuracy,positive_prediction_rate,calibration_gap,abs_calibration_gap
2014-01,15628.0,0.6521953546048552,0.09253765388752089,0.10557972869209112,0.10073530549175921,0.893588431021244,0.0014717174302533913,-0.004844423200331904,0.004844423200331904
2014-02,15269.0,0.6620677928990155,0.09430034378841427,0.10845503962276508,0.10311936960528875,0.8906935621193267,0.0015063199947606262,-0.005335670017476327,0.005335670017476327
2014-03,16513.0,0.6714645807902758,0.09750314780944151,0.11336522739659662,0.10611373735469146,0.886089747471689,0.002240658874825895,-0.007251490041905159,0.007251490041905159
2014-04,19071.0,0.6544517916231278,0.09875789026041884,0.11404750668554349,0.106437279401718,0.8852708300561062,0.0027790886686592207,-0.007610227283825488,0.007610227283825488
2014-05,19099.0,0.664170554260061,0.10018356145604697,0.11649824598146499,0.10277436713969357,0.8827687313471909,0.001780197916121263,-0.013723878841771425,0.013723878841771425
2014-06,17179.0,0.6676308271705279,0.10233667808889482,0.11956458466732639,0.10228516908068112,0.8794458350311427,0.0021537924209791026,-0.017279415586645266,0.017279415586645266
2014-07,29306.0,0.6664290264337402,0.10294987966231955,0.12048727223094247,0.10361671626727655,0.8786255374326076,0.0027298164198457653,-0.01687055596366592,0.01687055596366592
2014-08,18814.0,0.6799843442726562,0.10523775128719857,0.12458807271181035,0.10448827497590643,0.8747209524821941,0.0032422663973636656,-0.020099797735903924,0.020099797735903924
2014-09,10606.0,0.6929298504994699,0.10577061301693146,0.1254007165755233,0.09842086200018811,0.8730907033754478,0.0032057326041863097,-0.02697985457533518,0.02697985457533518
2014-10,38783.0,0.6803028044200321,0.10925930639929604,0.12997963025036743,0.10127618414293071,0.8688084985689606,0.003738751514838976,-0.02870344610743672,0.02870344610743672
2014-11,25054.0,0.6729677007937417,0.10525022989714249,0.1237327372874591,0.09849495190229493,0.8757882972778798,0.002554482318192704,-0.025237785385164163,0.025237785385164163
2014-12,10307.0,0.6932692805096143,0.09766392424459415,0.11516445134374696,0.09116626751644316,0.8844474628892985,0.002910643252158727,-0.0239981838273038,0.0239981838273038
2015-01,35107.0,0.6796094745007291,0.11071767700623443,0.1314837496795511,0.09981429665086068,0.8676332355370724,0.0031617626114450108,-0.03166945302869041,0.03166945302869041
2015-02,23770.0,0.6851283006745512,0.10658299154709926,0.126167437946992,0.09585940288241533,0.8727387463188894,0.0026924694993689523,-0.030308035064576674,0.030308035064576674
2015-03,25400.0,0.6725903823730593,0.11447835582014393,0.13618110236220474,0.09799570770596676,0.86251968503937,0.002952755905511811,-0.03818539465623798,0.03818539465623798
2015-04,35427.0,0.6761557512118478,0.11150423462090825,0.13283653710446836,0.09726663643268818,0.8669376464278657,0.0031049764304061874,-0.035569900671780175,0.035569900671780175
2015-05,31913.0,0.6872960696544889,0.1128797340934044,0.13505467991100806,0.09828768157377095,0.8637859179644659,0.003290195218249616,-0.03676699833723711,0.03676699833723711
2015-06,28485.0,0.6872074589597854,0.11379008084446575,0.13698437774267158,0.09852504736191665,0.8621730735474812,0.0035106196243637,-0.03845933038075493,0.03845933038075493
2015-07,45962.0,0.6858803559553677,0.11302340105796116,0.134741743179148,0.09684775476252777,0.8642574300509116,0.003176537139376006,-0.03789398841662023,0.03789398841662023
2015-08,35886.0,0.6959797056012492,0.1096763854014659,0.13147188318564343,0.09405974885996696,0.8673298779468316,0.0026472719166248677,-0.03741213432567647,0.03741213432567647
2015-09,28641.0,0.6882792178120201,0.11359451334784273,0.13623825983729618,0.09558856403529152,0.8633776753604971,0.003177263363709368,-0.04064969580200466,0.04064969580200466
2015-10,48631.0,0.6851362048047984,0.10752089336019756,0.12724393905122247,0.0905557823433722,0.8718718512882729,0.0023236207357446898,-0.03668815670785028,0.03668815670785028
2015-11,37530.0,0.6876836179019876,0.11149317981178489,0.13301358912869704,0.09041923021739194,0.8669597655209166,0.0023181454836131094,-0.0425943589113051,0.0425943589113051
2015-12,44343.0,0.6863246753411325,0.1190406399819988,0.14335971855760773,0.09212710812333227,0.8565049725999594,0.0033827210608213245,-0.05123261043427546,0.05123261043427546
2016-01,32366.0,0.7029667005065287,0.11075873994665562,0.13353519125007723,0.09078938438829844,0.8659395662114565,0.0034913180498053514,-0.0427458068617788,0.0427458068617788
2016-02,39529.0,0.6878342205040372,0.11351441503688309,0.13617850185939437,0.09406741603988472,0.8630372637810215,0.0031622353209036403,-0.04211108581950965,0.04211108581950965
2016-03,61992.0,0.6932846289546393,0.11568864752024006,0.13925990450380693,0.09622034067469422,0.8601593754032778,0.0049038585623951475,-0.04303956382911271,0.04303956382911271
2016-04,36432.0,0.6896225229901644,0.11693845367797695,0.1399044795783926,0.0935250006678576,0.8587779973649539,0.004446640316205534,-0.04637947891053501,0.04637947891053501
2016-05,28403.0,0.6883007755791033,0.11711297958498834,0.14153434496356018,0.09521798759414578,0.8574094285814878,0.004013660528817378,-0.046316357369414404,0.046316357369414404
2016-06,33019.0,0.6805965222316109,0.11167514991035403,0.1331657530512735,0.0897341001599732,0.8664102486447197,0.003694842363487689,-0.04343165289130031,0.04343165289130031
2016-07,34696.0,0.664706507709411,0.1219033096227174,0.14658750288217662,0.10311597245832936,0.8523460917685036,0.005043809084620705,-0.04347153042384726,0.04347153042384726
2016-08,36280.0,0.6684834581663535,0.12096937381722865,0.14536934950385888,0.102131228053521,0.8535832414553473,0.004685777287761852,-0.04323812145033788,0.04323812145033788
2016-09,28144.0,0.6728478291947528,0.11484176649281726,0.13732944855031268,0.10289523610055813,0.8622086412734509,0.00444144400227402,-0.034434212449754545,0.034434212449754545
2016-10,32772.0,0.6662215061410324,0.10334979533662379,0.12046869278652508,0.09937205284342043,0.8783412669351885,0.003387037715122666,-0.02109663994310465,0.02109663994310465
2016-11,34591.0,0.6660747171756841,0.10694525614780157,0.12555288947992252,0.09969088936117623,0.8734931051429563,0.003035471654476598,-0.025862000118746287,0.025862000118746287
