window_id,metric,method,estimate,status,effective_sample_size,suppression_reason,discriminator_auc
2014-11,brier,importance_weighted,,suppressed,3000.3211677933577,no_common_support,0.9900719925
2014-11,accuracy,importance_weighted,,suppressed,3000.3211677933577,no_common_support,0.9900719925
2014-12,base_rate,average_confidence,0.09116626751644316,ok,,,
2014-12,brier,average_confidence,0.07660853932983325,ok,,,
2014-12,accuracy,average_confidence,0.9092566683649319,ok,,,
2014-12,accuracy,atc,0.9117104880178519,ok,,,
2014-12,base_rate,importance_weighted,,suppressed,1998.0700097133097,no_common_support,0.995164291258368
2014-12,brier,importance_weighted,,suppressed,1998.0700097133097,no_common_support,0.995164291258368
2014-12,accuracy,importance_weighted,,suppressed,1998.0700097133097,no_common_support,0.995164291258368
2015-01,base_rate,average_confidence,0.09981429665086068,ok,,,
2015-01,brier,average_confidence,0.08311265810515496,ok,,,
2015-01,accuracy,average_confidence,0.9006463876228624,ok,,,
2015-01,accuracy,atc,0.8933830859942462,ok,,,
2015-01,base_rate,importance_weighted,,suppressed,2247.785095665576,no_common_support,0.9953265499999999
2015-01,brier,importance_weighted,,suppressed,2247.785095665576,no_common_support,0.9953265499999999
2015-01,accuracy,importance_weighted,,suppressed,2247.785095665576,no_common_support,0.9953265499999999
2015-02,base_rate,average_confidence,0.09585940288241533,ok,,,
2015-02,brier,average_confidence,0.0801412253003478,ok,,,
2015-02,accuracy,average_confidence,0.9044985735108663,ok,,,
2015-02,accuracy,atc,0.8992006731173748,ok,,,
2015-02,base_rate,importance_weighted,,suppressed,4615.326404852531,no_common_support,0.9883680874999999
2015-02,brier,importance_weighted,,suppressed,4615.326404852531,no_common_support,0.9883680874999999
2015-02,accuracy,importance_weighted,,suppressed,4615.326404852531,no_common_support,0.9883680874999999
2015-03,base_rate,average_confidence,0.09799570770596676,ok,,,
2015-03,brier,average_confidence,0.08153256725143862,ok,,,
2015-03,accuracy,average_confidence,0.9025247196448191,ok,,,
2015-03,accuracy,atc,0.8954724409448819,ok,,,
2015-03,base_rate,importance_weighted,,suppressed,1921.2079756306816,no_common_support,0.992067645
2015-03,brier,importance_weighted,,suppressed,1921.2079756306816,no_common_support,0.992067645
2015-03,accuracy,importance_weighted,,suppressed,1921.2079756306816,no_common_support,0.992067645
2015-04,base_rate,average_confidence,0.09726663643268818,ok,,,
2015-04,brier,average_confidence,0.08097572510045646,ok,,,
2015-04,accuracy,average_confidence,0.903242187043731,ok,,,
2015-04,accuracy,atc,0.8959832895813927,ok,,,
2015-04,base_rate,importance_weighted,,suppressed,1701.049661904155,no_common_support,0.9921598537500002
2015-04,brier,importance_weighted,,suppressed,1701.049661904155,no_common_support,0.9921598537500002
2015-04,accuracy,importance_weighted,,suppressed,1701.049661904155,no_common_support,0.9921598537500002
2015-05,base_rate,average_confidence,0.09828768157377095,ok,,,
2015-05,brier,average_confidence,0.0813758740211291,ok,,,
2015-05,accuracy,average_confidence,0.9022367031138417,ok,,,
2015-05,accuracy,atc,0.8897627925923605,ok,,,
2015-05,base_rate,importance_weighted,,suppressed,2250.040119871634,no_common_support,0.9917335924999999
2015-05,brier,importance_weighted,,suppressed,2250.040119871634,no_common_support,0.9917335924999999
2015-05,accuracy,importance_weighted,,suppressed,2250.040119871634,no_common_support,0.9917335924999999
2015-06,base_rate,average_confidence,0.09852504736191665,ok,,,
2015-06,brier,average_confidence,0.08174278236865416,ok,,,
2015-06,accuracy,average_confidence,0.9020422351981947,ok,,,
2015-06,accuracy,atc,0.8907846234860453,ok,,,
2015-06,base_rate,importance_weighted,,suppressed,1635.1826498450553,no_common_support,0.9939486275
2015-06,brier,importance_weighted,,suppressed,1635.1826498450553,no_common_support,0.9939486275
2015-06,accuracy,importance_weighted,,suppressed,1635.1826498450553,no_common_support,0.9939486275
2015-07,base_rate,average_confidence,0.09684775476252777,ok,,,
2015-07,brier,average_confidence,0.08065899506487212,ok,,,
2015-07,accuracy,average_confidence,0.9036538246815401,ok,,,
2015-07,accuracy,atc,0.8966102432444193,ok,,,
2015-07,base_rate,importance_weighted,,suppressed,1665.3147019731211,no_common_support,0.993738125
2015-07,brier,importance_weighted,,suppressed,1665.3147019731211,no_common_support,0.993738125
2015-07,accuracy,importance_weighted,,suppressed,1665.3147019731211,no_common_support,0.993738125
2015-08,base_rate,average_confidence,0.09405974885996696,ok,,,
2015-08,brier,average_confidence,0.07876205350475557,ok,,,
2015-08,accuracy,average_confidence,0.9063426502750737,ok,,,
2015-08,accuracy,atc,0.9019394750041799,ok,,,
2015-08,base_rate,importance_weighted,,suppressed,1668.1246843235938,no_common_support,0.9938750725000001
2015-08,brier,importance_weighted,,suppressed,1668.1246843235938,no_common_support,0.9938750725000001
2015-08,accuracy,importance_weighted,,suppressed,1668.1246843235938,no_common_support,0.9938750725000001
2015-09,base_rate,average_confidence,0.09558856403529152,ok,,,
2015-09,brier,average_confidence,0.07973818702653981,ok,,,
2015-09,accuracy,average_confidence,0.9048775854583647,ok,,,
2015-09,accuracy,atc,0.899340106839845,ok,,,
2015-09,base_rate,importance_weighted,,suppressed,1639.1353129663416,no_common_support,0.9941320624999999
2015-09,brier,importance_weighted,,suppressed,1639.1353129663416,no_common_support,0.9941320624999999
2015-09,accuracy,importance_weighted,,suppressed,1639.1353129663416,no_common_support,0.9941320624999999
2015-10,base_rate,average_confidence,0.0905557823433722,ok,,,
2015-10,brier,average_confidence,0.07628600367529705,ok,,,
2015-10,accuracy,average_confidence,0.9097810889816518,ok,,,
2015-10,accuracy,atc,0.9113322777652115,ok,,,
2015-10,base_rate,importance_weighted,,suppressed,1640.5309670262523,no_common_support,0.9938740249999999
2015-10,brier,importance_weighted,,suppressed,1640.5309670262523,no_common_support,0.9938740249999999
2015-10,accuracy,importance_weighted,,suppressed,1640.5309670262523,no_common_support,0.9938740249999999
2015-11,base_rate,average_confidence,0.09041923021739194,ok,,,
2015-11,brier,average_confidence,0.07624633737431548,ok,,,
2015-11,accuracy,average_confidence,0.9099904710710159,ok,,,
2015-11,accuracy,atc,0.9123900879296563,ok,,,
2015-11,base_rate,importance_weighted,,suppressed,1673.8807647172616,no_common_support,0.9925833749999999
2015-11,brier,importance_weighted,,suppressed,1673.8807647172616,no_common_support,0.9925833749999999
2015-11,accuracy,importance_weighted,,suppressed,1673.8807647172616,no_common_support,0.9925833749999999
2015-12,base_rate,average_confidence,0.09212710812333227,ok,,,
2015-12,brier,average_confidence,0.07710221661386513,ok,,,
2015-12,accuracy,average_confidence,0.9084140979744252,ok,,,
2015-12,accuracy,atc,0.9081478474618316,ok,,,
2015-12,base_rate,importance_weighted,,suppressed,2495.5412543451325,no_common_support,0.9924269275
2015-12,brier,importance_weighted,,suppressed,2495.5412543451325,no_common_support,0.9924269275
2015-12,accuracy,importance_weighted,,suppressed,2495.5412543451325,no_common_support,0.9924269275
2016-01,base_rate,average_confidence,0.09078938438829844,ok,,,
2016-01,brier,average_confidence,0.07568514801807211,ok,,,
2016-01,accuracy,average_confidence,0.909806698617185,ok,,,
2016-01,accuracy,atc,0.9062596551937218,ok,,,
2016-01,base_rate,importance_weighted,,suppressed,950.8569797497374,ess_collapse,0.9976908325000001
2016-01,brier,importance_weighted,,suppressed,950.8569797497374,ess_collapse,0.9976908325000001
2016-01,accuracy,importance_weighted,,suppressed,950.8569797497374,ess_collapse,0.9976908325000001
2016-02,base_rate,average_confidence,0.09406741603988472,ok,,,
2016-02,brier,average_confidence,0.07829307835656144,ok,,,
2016-02,accuracy,average_confidence,0.9065081638034788,ok,,,
2016-02,accuracy,atc,0.9001998532722811,ok,,,
2016-02,base_rate,importance_weighted,,suppressed,1295.0646646321154,no_common_support,0.9930729650000001
2016-02,brier,importance_weighted,,suppressed,1295.0646646321154,no_common_support,0.9930729650000001
2016-02,accuracy,importance_weighted,,suppressed,1295.0646646321154,no_common_support,0.9930729650000001
2016-03,base_rate,average_confidence,0.09622034067469422,ok,,,
2016-03,brier,average_confidence,0.07904861299309633,ok,,,
2016-03,accuracy,average_confidence,0.9046117544301487,ok,,,
2016-03,accuracy,atc,0.8884533488192025,ok,,,
2016-03,base_rate,importance_weighted,,suppressed,1111.7019925234908,no_common_support,0.99415303
2016-03,brier,importance_weighted,,suppressed,1111.7019925234908,no_common_support,0.99415303
2016-03,accuracy,importance_weighted,,suppressed,1111.7019925234908,no_common_support,0.99415303
2016-04,base_rate,average_confidence,0.0935250006678576,ok,,,
2016-04,brier,average_confidence,0.07739091799078211,ok,,,
2016-04,accuracy,average_confidence,0.9071470518919955,ok,,,
2016-04,accuracy,atc,0.899127140974967,ok,,,
2016-04,base_rate,importance_weighted,,suppressed,1290.812509742165,no_common_support,0.9932125475000001
2016-04,brier,importance_weighted,,suppressed,1290.812509742165,no_common_support,0.9932125475000001
2016-04,accuracy,importance_weighted,,suppressed,1290.812509742165,no_common_support,0.9932125475000001
2016-05,base_rate,average_confidence,0.09521798759414578,ok,,,
2016-05,brier,average_confidence,0.07864324744060587,ok,,,
2016-05,accuracy,average_confidence,0.905420306498538,ok,,,
2016-05,accuracy,atc,0.8922296940464035,ok,,,
2016-05,base_rate,importance_weighted,,suppressed,1102.6927037664645,no_common_support,0.9933842749999999
2016-05,brier,importance_weighted,,suppressed,1102.6927037664645,no_common_support,0.9933842749999999
2016-05,accuracy,importance_weighted,,suppressed,1102.6927037664645,no_common_support,0.9933842749999999
2016-06,base_rate,average_confidence,0.0897341001599732,ok,,,
2016-06,brier,average_confidence,0.07501051963825034,ok,,,
2016-06,accuracy,average_confidence,0.910913798003466,ok,,,
2016-06,accuracy,atc,0.9100215027711318,ok,,,
2016-06,base_rate,importance_weighted,,suppressed,1862.0779156761346,no_common_support,0.9935032075
2016-06,brier,importance_weighted,,suppressed,1862.0779156761346,no_common_support,0.9935032075
2016-06,accuracy,importance_weighted,,suppressed,1862.0779156761346,no_common_support,0.9935032075
2016-07,base_rate,average_confidence,0.10311597245832936,ok,,,
2016-07,brier,average_confidence,0.08497373846320465,ok,,,
2016-07,accuracy,average_confidence,0.8975703781510745,ok,,,
2016-07,accuracy,atc,0.8828395204058105,ok,,,
2016-07,base_rate,importance_weighted,,suppressed,553.0627595817522,ess_collapse,0.9985460175
2016-07,brier,importance_weighted,,suppressed,553.0627595817522,ess_collapse,0.9985460175
2016-07,accuracy,importance_weighted,,suppressed,553.0627595817522,ess_collapse,0.9985460175
2016-08,base_rate,average_confidence,0.102131228053521,ok,,,
2016-08,brier,average_confidence,0.08407863315899282,ok,,,
2016-08,accuracy,average_confidence,0.8985736535844328,ok,,,
2016-08,accuracy,atc,0.8846471885336273,ok,,,
2016-08,base_rate,importance_weighted,,suppressed,663.7343804284155,ess_collapse,0.9986689125000001
2016-08,brier,importance_weighted,,suppressed,663.7343804284155,ess_collapse,0.9986689125000001
2016-08,accuracy,importance_weighted,,suppressed,663.7343804284155,ess_collapse,0.9986689125000001
2016-09,base_rate,average_confidence,0.10289523610055813,ok,,,
2016-09,brier,average_confidence,0.08461444244772559,ok,,,
2016-09,accuracy,average_confidence,0.8977935367337103,ok,,,
2016-09,accuracy,atc,0.8808627060830017,ok,,,
2016-09,base_rate,importance_weighted,,suppressed,626.8174076455987,ess_collapse,0.9988684525
2016-09,brier,importance_weighted,,suppressed,626.8174076455987,ess_collapse,0.9988684525
2016-09,accuracy,importance_weighted,,suppressed,626.8174076455987,ess_collapse,0.9988684525
2016-10,base_rate,average_confidence,0.09937205284342043,ok,,,
2016-10,brier,average_confidence,0.082328226229762,ok,,,
2016-10,accuracy,average_confidence,0.9011853537792299,ok,,,
2016-10,accuracy,atc,0.8867325765897718,ok,,,
2016-10,base_rate,importance_weighted,,suppressed,834.4764634725711,ess_collapse,0.9993266350000001
2016-10,brier,importance_weighted,,suppressed,834.4764634725711,ess_collapse,0.9993266350000001
2016-10,accuracy,importance_weighted,,suppressed,834.4764634725711,ess_collapse,0.9993266350000001
2016-11,base_rate,average_confidence,0.09969088936117623,ok,,,
2016-11,brier,average_confidence,0.08300618787834596,ok,,,
2016-11,accuracy,average_confidence,0.9007558301756013,ok,,,
2016-11,accuracy,atc,0.8931513977624238,ok,,,
2016-11,base_rate,importance_weighted,,suppressed,35.907664805883336,ess_collapse,0.9997677424999999
2016-11,brier,importance_weighted,,suppressed,35.907664805883336,ess_collapse,0.9997677424999999
2016-11,accuracy,importance_weighted,,suppressed,35.907664805883336,ess_collapse,0.9997677424999999
