metric,method,n_windows,coverage,mean_error,mean_abs_error,max_abs_error,mean_relative_error,mean_abs_relative_error,always_same_direction
accuracy,atc,35,1.0,0.025210043650812298,0.025348802773513805,0.051642874861872246,0.029113000293295423,0.029269735070605922,False
accuracy,average_confidence,35,1.0,0.03236267620727503,0.03236267620727503,0.05190912537446579,0.037367087630303074,0.037367087630303074,True
accuracy,importance_weighted,35,0.11428571428571428,0.021295327749233345,0.021295327749233345,0.0342524228215243,0.02400523332168527,0.02400523332168527,True
base_rate,average_confidence,35,1.0,-0.031071178153463323,0.031071178153463323,0.05123261043427546,-0.23426486752970516,0.23426486752970516,True
base_rate,importance_weighted,35,0.11428571428571428,-0.02156119280924337,0.02156119280924337,0.034765568661373925,-0.1922161381056099,0.1922161381056099,True
brier,average_confidence,35,1.0,-0.027169879686683773,0.027169879686683773,0.04193842336813368,-0.24496680512894942,0.24496680512894942,True
brier,importance_weighted,35,0.11428571428571428,-0.01748526056407133,0.01748526056407133,0.028163347457633214,-0.1802478567760302,0.1802478567760302,True
