metric,method,n,correlation,estimate_range,true_range,range_ratio
base_rate,average_confidence,35,-0.38345257283436984,0.016703179241744803,0.0410077741900855,0.4073173824143606
base_rate,importance_weighted,4,-0.9899368186980539,0.019396777543618057,0.008467777993452372,2.2906573080466246
brier,average_confidence,35,-0.4560207622790397,0.013630746306298125,0.02936565573519652,0.46417306084402704
brier,importance_weighted,4,-0.9963335211688276,0.01574330744917722,0.006220236372897953,2.5309821854635652
accuracy,average_confidence,35,-0.398152966602966,0.017013703533367508,0.041242339252740345,0.412530032040727
accuracy,atc,35,0.052603908434733344,0.03634033774362455,0.041242339252740345,0.8811415259673933
accuracy,importance_weighted,4,-0.9890056182447022,0.018890173100164387,0.008317600965137784,2.27110836157448
