window_id,method,feature,statistic,p_value,severity,status,minimum_detectable_effect
2014-01,psi,loan_amnt,0.01315544759225655,1.8659935962074137e-32,none,ok,0.0006864002347305703
2014-01,psi,int_rate,0.07509675987321354,3.5006423894199915e-206,none,ok,0.0006864002347305703
2014-01,psi,installment,0.007862870372766326,3.7134720370816665e-18,none,ok,0.0006864002347305703
2014-01,psi,annual_inc,0.004836057521315535,2.9380605340692303e-10,none,ok,0.0006864002347305703
2014-01,psi,dti,0.0029125192226862107,1.612417858304889e-05,none,ok,0.0006864002347305703
2014-01,psi,delinq_2yrs,0.004154382506133318,1.576961998920202e-13,none,ok,7.626669274784114e-05
2014-01,psi,inq_last_6mths,0.0022332502059348985,4.3799497195896105e-07,none,ok,0.00015253338549568228
2014-01,psi,open_acc,0.01014334953138645,2.8647355431216783e-24,none,ok,0.0006864002347305703
2014-01,psi,pub_rec,0.029058479274824522,7.49487898938961e-85,none,ok,7.626669274784114e-05
2014-01,psi,revol_bal,0.003076457532175234,6.598065330328682e-06,none,ok,0.0006864002347305703
2014-01,psi,revol_util,0.005162132534850259,4.3642119935933323e-11,none,ok,0.0006866196375636934
2014-01,psi,total_acc,0.020532500626758807,8.652699826415651e-53,none,ok,0.0006864002347305703
2014-01,psi,tot_coll_amt,0.0,,none,ok,0.0
2014-01,psi,tot_cur_bal,0.001691795864798886,0.008317842253153487,none,ok,0.0006864002347305703
2014-01,psi,total_rev_hi_lim,0.0009513303735639168,0.1879001953569862,none,ok,0.0006864002347305703
2014-01,psi,acc_open_past_24mths,0.016479442797284756,4.487621022526325e-43,none,ok,0.000533866849234888
2014-01,psi,avg_cur_bal,0.002091146855438119,0.001192836637386405,none,ok,0.0006864411579663002
2014-01,psi,bc_open_to_buy,0.0034474670686176585,9.978025787932358e-07,none,ok,0.0006923226021233867
2014-01,psi,bc_util,0.003954822619940949,5.9351140878468476e-08,none,ok,0.0006928280865910683
2014-01,psi,mo_sin_old_rev_tl_op,0.007301585169244851,1.1419190714394784e-16,none,ok,0.0006864002347305703
2014-01,psi,mort_acc,0.0010090771872843327,0.021308419060508673,none,ok,0.0003813334637392057
