window_id,psi_drift_count,psi_alert_count,psi_evaluable,psi_drift_share,psi_alert_share,psi_max_statistic,psi_fired,ks_drift_count,ks_alert_count,ks_evaluable,ks_drift_share,ks_alert_share,ks_max_statistic,ks_fired,wasserstein_drift_count,wasserstein_alert_count,wasserstein_evaluable,wasserstein_drift_share,wasserstein_alert_share,wasserstein_max_statistic,wasserstein_fired,kl_drift_count,kl_alert_count,kl_evaluable,kl_drift_share,kl_alert_share,kl_max_statistic,kl_fired,prediction_psi,prediction_psi_p,prediction_fired,mean_prediction,multivariate_auc,multivariate_p,multivariate_fired
2014-01,0,0,28,0.0,0.0,0.07509675987321354,False,6,0,28,0.21428571428571427,0.0,0.08651142752693641,True,8,0,28,0.2857142857142857,0.0,0.18785075973539375,True,0,0,28,0.0,0.0,0.03692673556729069,False,0.002978009761579174,1.1296426189023092e-05,False,0.10073530549175921,0.6746781875000001,0.02,True
2014-02,0,0,28,0.0,0.0,0.07066611352675678,False,4,0,28,0.14285714285714285,0.0,0.061403133954912814,True,4,0,28,0.14285714285714285,0.0,0.20271905595552014,True,0,0,28,0.0,0.0,0.03446636639222558,False,0.0007461598819934673,0.384315151321602,False,0.10311936960528875,0.6358756249999999,0.02,True
2014-03,1,0,28,0.03571428571428571,0.0,0.11633145815733054,True,7,0,28,0.25,0.0,0.08746961820995469,True,4,0,28,0.14285714285714285,0.0,0.20653439398079726,True,1,0,28,0.03571428571428571,0.0,0.05737102737343878,True,0.0023275515833326293,0.00020268807985054395,False,0.10611373735469146,0.6666936250000001,0.02,True
2014-04,1,0,28,0.03571428571428571,0.0,0.10237254006813876,True,8,0,28,0.2857142857142857,0.0,0.0750889242443113,True,5,1,28,0.17857142857142858,0.03571428571428571,0.6645984724041107,True,1,0,28,0.03571428571428571,0.0,0.05002244780698954,True,0.0019295753700596737,0.000471362524637734,False,0.106437279401718,0.6488873125,0.02,True
2014-05,0,0,28,0.0,0.0,0.07951754947342737,False,6,0,28,0.21428571428571427,0.0,0.09912866636060624,True,8,0,28,0.2857142857142857,0.0,0.1807986256818966,True,0,0,28,0.0,0.0,0.039047342688031464,False,0.0023068179420297043,4.5024152765307065e-05,False,0.10277436713969357,0.6639524374999999,0.02,True
2014-06,1,0,28,0.03571428571428571,0.0,0.1151958607843603,True,6,1,28,0.21428571428571427,0.03571428571428571,0.11850335900356246,True,7,0,28,0.25,0.0,0.15646747649182302,True,1,0,28,0.03571428571428571,0.0,0.05510883249972504,True,0.0028668815561836984,5.740819432931283e-06,False,0.10228516908068112,0.6872868750000001,0.02,True
2014-07,0,0,28,0.0,0.0,0.09577562327572814,False,4,1,28,0.14285714285714285,0.03571428571428571,0.11540153776082918,True,9,0,28,0.32142857142857145,0.0,0.1723081489201404,True,0,0,28,0.0,0.0,0.0461494302200684,False,0.0017758976622553593,1.5575864079824608e-05,False,0.10361671626727655,0.6916786875000001,0.02,True
2014-08,0,0,28,0.0,0.0,0.08303753782855004,False,7,1,28,0.25,0.03571428571428571,0.11063519036423775,True,10,0,28,0.35714285714285715,0.0,0.20159184837321945,True,0,0,28,0.0,0.0,0.04255991109901411,False,0.017687173874428478,5.066691481458434e-53,False,0.10448827497590643,0.6991721875000001,0.02,True
2014-09,1,0,28,0.03571428571428571,0.0,0.1595698521357564,True,12,1,28,0.42857142857142855,0.03571428571428571,0.15019556524886568,True,17,1,28,0.6071428571428571,0.03571428571428571,0.25516259648972944,True,1,0,28,0.03571428571428571,0.0,0.08351971311511186,True,0.0506415937595815,1.1594748637056552e-96,False,0.09842086200018811,0.7130169999999999,0.02,True
2014-10,1,0,28,0.03571428571428571,0.0,0.1857005475047668,True,9,1,28,0.32142857142857145,0.03571428571428571,0.16692442337084168,True,11,1,28,0.39285714285714285,0.03571428571428571,0.26866164527069375,True,1,0,28,0.03571428571428571,0.0,0.09225783844203868,True,0.02394651923023742,1.1730907808299027e-129,False,0.10127618414293071,0.7390563749999999,0.02,True
