series,n_below,n_above,mean_error,sign_p,sign_p_discounted,estimate_slope,estimate_slope_p,truth_slope,truth_slope_p,gap_slope,gap_slope_p
base_rate  -  average_confidence,35,0,-0.031071178153463278,5.820766091346741e-11,0.000244140625,-0.00020822935840067303,0.09905247908706766,0.000753497032096177,0.00016153658572133492,0.0009617263904968507,0.0015661036654504431
brier  -  average_confidence,35,0,-0.027169879686683728,5.820766091346741e-11,0.00048828125,-0.00020116170882550612,0.0475872720956114,0.0005376942944296552,5.129780890256115e-05,0.00073885600325516,0.0007359421086125729
accuracy  -  average_confidence,0,35,0.032362676207274975,5.820766091346741e-11,0.000244140625,0.0002197673323454775,0.0841333229303151,-0.0007529358737606745,0.00015719719867307596,-0.0009727032061061555,0.0014108697413804134
accuracy  -  atc,2,33,0.025210043650812246,3.6729034036397934e-08,7.62939453125e-05,4.890600819368103e-05,0.8184397869748454,-0.0007529358737606745,0.00015719719867307596,-0.0008018418819543525,0.024164640881721745
