window_id,n,auc,auc_delta,brier,base_rate,mean_predicted
2014-01,15628.0,0.6521953546048552,-0.019750524175357387,0.09253765388752089,0.10557972869209112,0.10073530549175921
2014-02,15269.0,0.6620677928990155,-0.009878085881197096,0.09430034378841427,0.10845503962276508,0.10311936960528875
2014-03,16513.0,0.6714645807902758,-0.00048129798993679085,0.09750314780944151,0.11336522739659662,0.10611373735469146
2014-04,19071.0,0.6544517916231278,-0.01749408715708478,0.09875789026041884,0.11404750668554349,0.106437279401718
2014-05,19099.0,0.664170554260061,-0.007775324520151616,0.10018356145604697,0.11649824598146499,0.10277436713969357
2014-06,17179.0,0.6676308271705279,-0.004315051609684706,0.10233667808889482,0.11956458466732639,0.10228516908068112
2014-07,29306.0,0.6664290264337402,-0.005516852346472367,0.10294987966231955,0.12048727223094247,0.10361671626727655
2014-08,18814.0,0.6799843442726562,0.00803846549244358,0.10523775128719857,0.12458807271181035,0.10448827497590643
2014-09,10606.0,0.6929298504994699,0.020983971719257255,0.10577061301693146,0.1254007165755233,0.09842086200018811
2014-10,38783.0,0.6803028044200321,0.00835692563981949,0.10925930639929604,0.12997963025036743,0.10127618414293071
2014-11,25054.0,0.6729677007937417,0.0010218220135290723,0.10525022989714249,0.1237327372874591,0.09849495190229493
2014-12,10307.0,0.6932692805096143,0.021323401729401725,0.09766392424459415,0.11516445134374696,0.09116626751644316
2015-01,35107.0,0.6796094745007291,0.007663595720516447,0.11071767700623443,0.1314837496795511,0.09981429665086068
2015-02,23770.0,0.6851283006745512,0.013182421894338603,0.10658299154709926,0.126167437946992,0.09585940288241533
2015-03,25400.0,0.6725903823730593,0.0006445035928467346,0.11447835582014393,0.13618110236220474,0.09799570770596676
2015-04,35427.0,0.6761557512118478,0.0042098724316351754,0.11150423462090825,0.13283653710446836,0.09726663643268818
2015-05,31913.0,0.6872960696544889,0.015350190874276248,0.1128797340934044,0.13505467991100806,0.09828768157377095
2015-06,28485.0,0.6872074589597854,0.015261580179572798,0.11379008084446575,0.13698437774267158,0.09852504736191665
2015-07,45962.0,0.6858803559553677,0.013934477175155058,0.11302340105796116,0.134741743179148,0.09684775476252777
2015-08,35886.0,0.6959797056012492,0.024033826821036608,0.1096763854014659,0.13147188318564343,0.09405974885996696
2015-09,28641.0,0.6882792178120201,0.016333339031807448,0.11359451334784273,0.13623825983729618,0.09558856403529152
2015-10,48631.0,0.6851362048047984,0.013190326024585808,0.10752089336019756,0.12724393905122247,0.0905557823433722
2015-11,37530.0,0.6876836179019876,0.015737739121775007,0.11149317981178489,0.13301358912869704,0.09041923021739194
2015-12,44343.0,0.6863246753411325,0.014378796560919893,0.1190406399819988,0.14335971855760773,0.09212710812333227
2016-01,32366.0,0.7029667005065287,0.03102082172631604,0.11075873994665562,0.13353519125007723,0.09078938438829844
2016-02,39529.0,0.6878342205040372,0.015888341723824584,0.11351441503688309,0.13617850185939437,0.09406741603988472
2016-03,61992.0,0.6932846289546393,0.021338750174426657,0.11568864752024006,0.13925990450380693,0.09622034067469422
2016-04,36432.0,0.6896225229901644,0.017676644209951742,0.11693845367797695,0.1399044795783926,0.0935250006678576
2016-05,28403.0,0.6883007755791033,0.016354896798890683,0.11711297958498834,0.14153434496356018,0.09521798759414578
2016-06,33019.0,0.6805965222316109,0.008650643451398321,0.11167514991035403,0.1331657530512735,0.0897341001599732
2016-07,34696.0,0.664706507709411,-0.007239371070801637,0.1219033096227174,0.14658750288217662,0.10311597245832936
2016-08,36280.0,0.6684834581663535,-0.003462420613859152,0.12096937381722865,0.14536934950385888,0.102131228053521
2016-09,28144.0,0.6728478291947528,0.0009019504145402202,0.11484176649281726,0.13732944855031268,0.10289523610055813
2016-10,32772.0,0.6662215061410324,-0.005724372639180242,0.10334979533662379,0.12046869278652508,0.09937205284342043
2016-11,34591.0,0.6660747171756841,-0.0058711616045284964,0.10694525614780157,0.12555288947992252,0.09969088936117623
